scenario_id,run_label,cost_weight,emissions_weight,equity_weight,seed,iterations,run_id,initial_objective,best_objective,objective_improvement,cost_weighted_contribution,emissions_weighted_contribution,equity_weighted_contribution,cost_coefficient,emissions_coefficient,equity_coefficient,annual_cost_delta,annual_net_emissions_delta_grams,equity_population_gap_delta,cost_percent_delta,emissions_percent_delta,equity_percent_delta,accepted_improving_moves,accepted_nonimproving_moves,event_count,improvement_event_count,nonimp_accept_event_count,nonimp_reject_event_count,route_count_changed,epc_touching_route_count_changed,route_delta_rows,tract_delta_rows,cost_delta_per_gram_net_emissions_change,cost_delta_per_gram_net_emissions_change_status,cost_delta_per_equity_gap_change,cost_delta_per_equity_gap_change_status,net_emissions_delta_per_equity_gap_change,net_emissions_delta_per_equity_gap_change_status,sacrifice_cost_for_emissions_equity,sacrifice_emissions_for_cost_equity,sacrifice_equity_for_cost_emissions,is_sacrifice_case
balanced,Balanced Weights,1.0,1.0,1.0,42,1,balanced__iter_001__seed_42,0.0,-3.129414200195856,3.129414200195856,0.007086801139372029,0.27434249194230886,-3.410843493277537,1.0,1.0,1.0,29712.77907639742,140555807.52401733,-0.3517719581703673,0.007086801139372029,0.27434249194230886,-3.410843493277537,1,0,1,1,0,0,2,1,57,244,0.0002113948871968188,ok,-84466.02517988988,ok,-399565128.0877383,ok,False,False,False,False
balanced,Balanced Weights,1.0,1.0,1.0,42,4,balanced__iter_004__seed_42,0.0,-17.18425849972782,17.18425849972782,0.06252247767000593,0.32144548031774955,-17.56822645771558,1.0,1.0,1.0,262137.53282803297,164688410.97538757,-1.81187129658435,0.06252247767000593,0.32144548031774955,-17.56822645771558,4,0,4,4,0,0,5,3,57,244,0.0015917181499019322,ok,-144677.78882650312,ok,-90894100.08638583,ok,False,False,False,False
balanced,Balanced Weights,1.0,1.0,1.0,42,16,balanced__iter_016__seed_42,0.0,-58.72207876132016,58.72207876132016,0.6841782808116296,1.3126661575252365,-60.71892319965703,1.0,1.0,1.0,2868549.2518880963,672527432.6778641,-6.262150272809812,0.6841782808116296,1.3126661575252365,-60.71892319965703,16,0,16,16,0,0,10,5,57,244,0.004265326754726021,ok,-458077.35792341264,ok,-107395607.47974555,ok,False,False,False,False
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,0.0,-107.88667189103415,107.88667189103415,0.39696398550111606,-8.345974300254406,-99.93766157628086,1.0,1.0,1.0,1664347.9858567119,-4275951381.215996,-10.306912931344883,0.39696398550111606,-8.345974300254406,-99.93766157628086,64,0,64,64,0,0,32,24,57,244,-0.00038923454395859016,ok,-161478.8052390719,ok,414862472.3715459,ok,True,False,False,True
cost_priority,Cost Priority,1.5,0.75,0.75,42,1,cost_priority__iter_001__seed_42,0.0,-2.341745549292363,2.341745549292363,0.010630201709058044,0.20575686895673165,-2.558132619958153,1.5,0.75,0.75,29712.77907639742,140555807.52401733,-0.3517719581703673,0.007086801139372029,0.27434249194230886,-3.410843493277537,1,0,1,1,0,0,2,1,57,244,0.0002113948871968188,ok,-84466.02517988988,ok,-399565128.0877383,ok,False,False,False,False
cost_priority,Cost Priority,1.5,0.75,0.75,42,4,cost_priority__iter_004__seed_42,0.0,-12.909608711749378,12.909608711749378,-0.11174766866401861,0.2844425735090512,-13.08230361659441,1.5,0.75,0.75,-312349.0863289237,194307270.5980072,-1.7989636364763513,-0.0744984457760124,0.379256764678735,-17.443071488792548,4,0,4,4,0,0,6,3,57,244,-0.0016075007660167665,ok,173627.2373691361,ok,-108010671.6212446,ok,False,True,False,True
cost_priority,Cost Priority,1.5,0.75,0.75,42,16,cost_priority__iter_016__seed_42,0.0,-43.86024518078854,43.86024518078854,0.1055112661241448,1.0073024580804395,-44.973058904993124,1.5,0.75,0.75,294917.5402519703,688104417.2877502,-6.184300560687703,0.0703408440827632,1.3430699441072527,-59.96407853999083,16,0,16,16,0,0,10,6,57,244,0.0004285941680398227,ok,-47688.09946377752,ok,-111266328.42877741,ok,False,False,False,False
cost_priority,Cost Priority,1.5,0.75,0.75,42,64,cost_priority__iter_064__seed_42,0.0,-82.42781049981775,82.42781049981775,-4.563201502335471,-2.8697454552299773,-74.9948635422523,1.5,0.75,0.75,-12754734.27794373,-1960369011.7050247,-10.312635785633795,-3.042134334890314,-3.82632727363997,-99.99315138966973,64,0,64,64,0,0,31,24,57,244,0.0065062925407346345,ok,1236806.432717419,ok,190093886.03017983,ok,False,False,False,False
emissions_priority,Emissions Priority,0.75,1.5,0.75,42,1,emissions_priority__iter_001__seed_42,0.0,-2.16153134436651,2.16153134436651,0.0751064832185135,0.09177404747522332,-2.328411875060247,0.75,1.5,0.75,419864.5339298248,31346159.712753296,-0.3201827764232483,0.10014197762468467,0.06118269831681555,-3.1045491667469958,1,0,1,1,0,0,2,1,57,244,0.01339444888232996,ok,-1311327.66921481,ok,-97900830.46602398,ok,False,False,False,False
emissions_priority,Emissions Priority,0.75,1.5,0.75,42,4,emissions_priority__iter_004__seed_42,0.0,-12.667325616461252,12.667325616461252,0.11668324061647825,0.16242853003838442,-12.946437387116115,0.75,1.5,0.75,652289.2876814008,55478763.164123535,-1.780280504405745,0.15557765415530433,0.10828568669225629,-17.26191651615482,4,0,4,4,0,0,5,3,57,244,0.011757459079462983,ok,-366396.9167033787,ok,-31162933.608960833,ok,False,False,False,False
emissions_priority,Emissions Priority,0.75,1.5,0.75,42,16,emissions_priority__iter_016__seed_42,0.0,-43.0645838691843,43.0645838691843,0.3413035355853334,1.2066388473488865,-44.61252625211851,0.75,1.5,0.75,1907974.435179174,412137146.23213196,-6.13472327282679,0.4550713807804445,0.804425898232591,-59.483368336158016,16,0,16,16,0,0,12,7,57,244,0.004629464858051225,ok,-311012.30655837024,ok,-67181049.23455256,ok,False,False,False,False
emissions_priority,Emissions Priority,0.75,1.5,0.75,42,64,emissions_priority__iter_064__seed_42,0.0,-89.42988898370571,89.42988898370571,0.9241618765801685,-15.487548890995352,-74.86650196929052,0.75,1.5,0.75,5166302.281217694,-5289896157.487022,-10.294984628097119,1.2322158354402246,-10.325032593996902,-99.8220026257207,64,0,64,64,0,0,38,28,57,244,-0.0009766358596483221,ok,-501827.1000733501,ok,513832351.24507266,ok,True,False,False,True
equity_priority,Equity Priority,0.75,0.75,1.5,42,1,equity_priority__iter_001__seed_42,0.0,-4.905193270105045,4.905193270105045,0.005315100854529022,0.20575686895673165,-5.116265239916306,0.75,0.75,1.5,29712.77907639742,140555807.52401733,-0.3517719581703673,0.007086801139372029,0.27434249194230886,-3.410843493277537,1,0,1,1,0,0,2,1,57,244,0.0002113948871968188,ok,-84466.02517988988,ok,-399565128.0877383,ok,False,False,False,False
equity_priority,Equity Priority,0.75,0.75,1.5,42,4,equity_priority__iter_004__seed_42,0.0,-26.101792603489635,26.101792603489635,0.0941180186761025,0.314162584374515,-26.510073206540252,0.75,0.75,1.5,526143.9006652832,214609485.28468323,-1.8227163616046234,0.12549069156813666,0.41888344583268666,-17.6733821376935,4,0,4,4,0,0,6,3,57,244,0.002451633952559665,ok,-288659.22956992267,ok,-117741569.56365518,ok,False,False,False,False
equity_priority,Equity Priority,0.75,0.75,1.5,42,16,equity_priority__iter_016__seed_42,0.0,-89.7466135386304,89.7466135386304,0.7467049319706094,1.2371188140315459,-91.73043728463256,0.75,0.75,1.5,4174272.377163589,845095645.1224213,-6.3069825418134755,0.9956065759608126,1.6494917520420613,-61.15362485642171,16,0,16,16,0,0,10,5,57,244,0.004939408221135609,ok,-661849.3629068048,ok,-133993655.36842394,ok,False,False,False,False
equity_priority,Equity Priority,0.75,0.75,1.5,42,64,equity_priority__iter_064__seed_42,0.0,-154.55337644796398,154.55337644796398,-0.27016987276831683,-4.318570537371422,-149.96463603782425,0.75,0.75,1.5,-1510318.9877992868,-2950084594.0521927,-10.31091063531234,-0.36022649702442244,-5.758094049828563,-99.97642402521616,64,0,64,64,0,0,32,23,57,244,0.00051195785735918,ok,146477.74975634206,ok,286112904.9018112,ok,False,False,False,False
